Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2021,12,Female,17,Left-Handed,155,27,155,2,Car,15,0.427,59,Basketball,1000,1000,1000,1000,500,900,27,Same length,71,68,Index finger,September,Fall,Yes,No,Pizza/Pasta,Water,English,7,9,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",45,57,10,3,10,7,9,0,10,9,15,5,1,4,Some,Graduate degree,Gospel,Telepathy,Healthy,Religious figure,Health
USA,MO,2021,12,Female,16,Right-Handed,159,24,149,1,Car,15,0.312,42,Hockey (Field),1000,642,1000,818,455,572,23,Right foot,68,65,Index finger,January,Fall,Yes,No,Desserts,Water,English,5,7,5,Yes - broadband connection,Text messaging,65,74,10,14,5,5,12,0,3,5,16,14,0,2,Very little,Undergraduate degree,Pop,Telepathy,Happy,Musician or singer,Health
USA,MO,2021,9,Female,17,Right-Handed,175,24,179,2,Car,17,0.312,45,Other,999,687,987,864,569,604,23,Right foot,80,82,Ring finger,July,Fall,No,No,Rice/Noodle dishes,Coffee,English,6,9,4,Yes - broadband connection,Text messaging,300,280,6,0,10,0,2,3,5,2,16,1,25,7,Some,Graduate degree,Pop,Telepathy,Rich,Teacher,Education/Youth development
USA,MO,2021,9,Female,17,Right-Handed,160,24,156,1,Car,12,0.436,38,Other,882,654,239,798,879,699,24,Same length,7.5,7.4,Index finger,November,Fall,Yes,No,Salads,Water,English,8,8,5,Yes - broadband connection,Text messaging,200,200,12,0,6,6,12,0,6,3,24,4,10,4,Some,High school,Pop,Telepathy,Happy,Community leader or elder,Education/Youth development
USA,MO,2021,10,Female,16,Right-Handed,167,23,168,1,Car,15,0.82,75,Other,900,900,200,200,100,100,23,Right foot,30,25,Ring finger,March,Spring,Yes,No,Pizza/Pasta,Sports drink,Other,7,9,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",70,80,10,2,7,20,20,5,10,4,20,5,5,10,A lot,Graduate degree,Pop,Freeze time,Rich,Actor,"Wildlife, animals"
USA,MO,2021,10,Female,16,Left-Handed,157.5,22,158,1,Car,15,0.491,36,Running/Jogging,900,800,850,700,400,500,23,Left foot,70,73,Ring finger,January,Winter,Yes,No,Meat,Water,Science,8.5,8,5,Yes - other,In person,10,20,15,3,10,12,11,1,5,2,20,7,5,4,Some,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,Health
USA,MO,2021,12,Male,16,Right-Handed,180,31,175,1,Walk,5,363,57,Athletics,1000,711,829,866,626,733,31,Right foot,77,83,Index finger,January,Spring,Yes,Yes,Poultry,Water,Art,8,10,4,No internet connection,In person,40,40,3,0.5,7,6,10,9,,4,8,1,7,2,Very little,Undergraduate degree,Other,Fly,Happy,Coach or club leader,International aid
USA,MO,2021,10,Female,15,Right-Handed,170.1,17.78,129.5,1,Car,20,0.36,48,Walking/Hiking,888,348,620,219,86,86,20.32,Left foot,7.62,8.89,Ring finger,June,Winter,No,No,Desserts,Coffee,English,6,6,4,Yes - broadband connection,In person,10,10,3,0,10,5,5,2,6,1,10,1,0,0,Some,Graduate degree,Punk rock,Fly,Rich,Other,Environment
USA,MO,2021,11,Female,16,Right-Handed,181,26,176.5,1,Car,3,0.698,42,Basketball,550,350,550,550,250,950,26,Same length,92,98,Ring finger,February,Summer,No,No,Seafood,Water,Other,7,9,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,30,9,5,7,4,10,0,8,9,6,3,0,4,Some,Other,Country,Invisibility,Happy,Relative,Education/Youth development
USA,MO,2021,11,Female,16,Right-Handed,173.5,25,173,1,Car,15,0.439,51,Basketball,900,750,300,500,15,200,25,Same length,93,96,Ring finger,June,Summer,No,No,Desserts,Water,Mathematics and statistics,8,8,4,Yes - other,,10,6,10,1,12,12,14,1,10,1,12,7,3,3,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Religious
USA,MO,2021,10,Female,15,Left-Handed,170,21,175,1,Car,15,0.695,42,Other,813,813,551,652,642,706,20,Right foot,72,70,Index finger,May,Summer,No,No,No favorite,Soft drink (non-caffeinated),Other,8,9,3,Yes - broadband connection,Other,10,8,8,0,7,5,1,8,1,2,9,4,0,2,Some,Other,Other,Fly,Healthy,Relative,"Arts, culture, sports"
USA,MO,2021,10,Male,15,Right-Handed,160,24,63,1,Car,15,0.3,72,Other,1,50,100,0,925,950,24,Same length,76,89,Ring finger,June,Summer,No,No,Meat,Sports drink,Mathematics and statistics,8,9,4,Yes - broadband connection,Cell phone,6,3,10,10,3,30,1,10,0,0.2,12,2,0,1,Some,Graduate degree,Techno/Electronic,Fly,Happy,Relative,Health
USA,MO,2021,11,Female,17,Right-Handed,172,24,172,1,Car,12,0.454,46,Golf,684,620,316,380,278,198,25,Left foot,93,91,Index finger,September,Fall,Yes,No,Pizza/Pasta,Tea,History,8,9,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,12,12,14,10,18,14,0,10,8,20,10,14,16,Some,Graduate degree,Country,Freeze time,Happy,Relative,Health
USA,MO,2021,9,Male,17,Right-Handed,185.5,26.7,187,2,Car,18,0.299,45,Soccer,850,500,850,930,800,800,26.16,Right foot,77,76,Index finger,March,Spring,No,No,Rice/Noodle dishes,Water,History,6,8,4,Yes - broadband connection,Text messaging,77,80,25,0,10,12,5,1,20,20,15,3,3,3,A lot,Undergraduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
USA,MO,2021,10,Male,14,Right-Handed,146,22,140,2,Car,10,0.327,26,Basketball,900,700,400,400,500,500,22,Same length,70,80,Ring finger,December,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,10,5,Yes - broadband connection,Cell phone,4,3,40,2,10,10,15,21,15,3,21,21,5,5,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Education/Youth development
USA,MO,2021,11,Female,16,Right-Handed,157,23,165,2,Car,5,0.418,38,Athletics,,,,,,,23,Same length,90,100,Ring finger,July,Summer,No,No,Pizza/Pasta,Sports drink,Physical education,8,7,5,Yes - other,Text messaging,65,90,12,,,,,,,,,,,,Some,Other,Country,Invisibility,Happy,Actor,Health
USA,MO,2021,11,Male,17,Right-Handed,173,26,177,1,Car,22,0.471,37,Football (American),600,800,200,200,1000,1000,26,Same length,100,110,Ring finger,May,Summer,No,No,Meat,Sports drink,Physical education,7,6,6,Yes - broadband connection,Internet chat or instant messaging,5,4,3,10,6,3,14,3,1,0.5,5,12,0,14,Very little,Graduate degree,Country,Fly,Happy,Relative,Religious
USA,MO,2021,9,Female,17,Right-Handed,165,24,167,3,Car,10,0.409,58,Other,850,800,800,500,800,900,"24,5",Left foot,750,800,Ring finger,June,Summer,No,No,Desserts,Water,Languages,7,9,5,Yes - broadband connection,Text messaging,350,400,2,12,13,10,8,0,10,13,18,2,0,1,Some,Some college,Pop,Telepathy,Healthy,Sports person,Health
USA,MO,2021,11,Male,18,Right-Handed,170,23,167,1,Car,11,0.455,42,Other,824,638,829,561,102,155,24,Left foot,75,76,Ring finger,November,Winter,No,No,Meat,Soft drink (caffeinated),History,6,8,3,Yes - broadband connection,Internet chat or instant messaging,12,15,12,5,5,7,3,90,2,6,40,8,12,4,Very little,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,MO,2021,12,Male,17,Right-Handed,193,30,186,1,Car,20,0.305,37,Baseball/Softball,1000,700,800,800,500,900,30,Same length,85,89,Ring finger,May,Spring,No,No,Breads/Sandwiches,Water,Art,7,8,3,Yes - broadband connection,Text messaging,15,15,20,5,8,15,20,15,25,10,15,4,5,5,Some,Undergraduate degree,Rhythm and blues (R&B),Fly,Rich,Sports person,Environment
USA,MO,2021,10,Male,15,Left-Handed,"5'10""",30,181,3,Car,15,0.2,68,Swimming,500,500,500,500,500,700,181,Same length,101,101,Same length,July,Spring,No,No,Meat,Water,Mathematics and statistics,6,9,5,Yes - other,Text messaging,50,200,7,4,6,25,5,2,7,19,4,7,0,7,Some,Graduate degree,Rock and roll,Freeze time,Happy,Doctor or nurse,International aid
